model,term,estimate,std_error,IRR,IRR_lo95,IRR_hi95,p_value
M8_shift_TBC_knockon_24h,TBH,0.002376979963322259,0.005702328698586618,1.0023798072198622,0.9912390187427107,1.0136458098638754,0.6767927141900596
M8_shift_TBC_knockon_24h,TBG,-0.049224990640572334,0.006444671067310066,0.9519669219544655,0.9400177264855928,0.9640680116571705,2.204642822837411e-14
M8_shift_TBC_knockon_24h,shift_factorPM,0.2153895857453031,0.044740022069005146,1.2403450235907767,1.1362111136232727,1.3540228211994958,1.4775482714588175e-6
M8_shift_TBC_knockon_24h,shift_factorOVN,-0.9226573335231475,0.06806744239562906,0.3974614488869698,0.34782022739917656,0.45418751098114923,7.396545997965848e-42
M8_shift_TBC_knockon_24h,weekend,0.04848187079173167,0.04674025572703572,1.0496763418468107,0.9577877983190671,1.1503805170274828,0.2996139730888503
M9_shift_total_24h,(Intercept),3.5083662296587583,0.18849232352745382,33.393665611923566,23.07895759006953,48.31833927719468,2.5313398934494723e-77
M9_shift_total_24h,pairs_24h,-0.10741406487459239,0.013541808969524708,0.8981537020855583,0.8746285382686725,0.9223116297654971,2.1558850610593066e-15
M9_shift_total_24h,disp_24h,0.23430647092418086,0.029414988370623583,1.2640318218527462,1.1932170868171013,1.3390492512292387,1.6449456244175142e-15
M9_shift_total_24h,shift_factorPM,0.14513205218303987,0.03788297525897057,1.156192237896781,1.073453928879297,1.2453077444771072,1.2759100097479672e-4
M9_shift_total_24h,shift_factorOVN,-0.9723886389494639,0.05243152375676406,0.37817862618029424,0.34124505428943575,0.4191095856243808,8.805114177001334e-77
M9_shift_total_24h,weekend,-0.051218627646460055,0.039665724364738496,0.9500709360522849,0.8790060949153742,1.0268811430916933,0.19661472088616277
