model,term,estimate,se,HR,HR_lo95,HR_hi95,p_value,n_events
M5_OTHER,factor(day_of_week).C,0.20342197271898024,0.4127166487890937,1.2255895244920159,0.5458000064405795,2.75205141960381,0.6220936286675184,138
M5_OTHER,factor(day_of_week)^4,0.2614395450779566,0.36618005692715067,1.2987984204411864,0.633640597308776,2.662198956482736,0.4752491587221787,138
M5_OTHER,factor(day_of_week)^5,0.2219756499049891,0.3409716461866888,1.2485409754027574,0.6399733292005423,2.4358117692295043,0.5150406024148606,138
M5_OTHER,factor(day_of_week)^6,0.0761543542825202,0.3557332789621928,1.079129129505219,0.5373622276520725,2.1671037118386494,0.8304869212220324,138
M1b_PLACED_staffing,pop_available_s2,0.0025458582470771793,0.005609520230879361,1.002549101696054,0.9915867894133635,1.013632605882334,0.6499396815810993,338
M1b_PLACED_staffing,disp_24h,0.28973378974666575,0.1476250930917495,1.3360717646760243,1.0003886828044304,1.7843941970237973,0.04968890393528845,338
M1b_PLACED_staffing,factor(day_of_week).L,-0.15110105243958713,0.2025903444088752,0.8597608133416432,0.5780018974781477,1.278868909225043,0.45576088276159443,338
M1b_PLACED_staffing,factor(day_of_week).Q,-0.21532322637621343,0.18538610221042354,0.8062807868376389,0.5606379278590593,1.159551780069632,0.24544461133533568,338
M1b_PLACED_staffing,factor(day_of_week).C,0.10697366489287403,0.20183306350036243,1.1129049456224374,0.7492975288456708,1.652958097831896,0.5961045752466294,338
M1b_PLACED_staffing,factor(day_of_week)^4,0.03717202638590385,0.26593174873855996,1.037871546773355,0.6162797979383924,1.7478706120258034,0.8888335586833357,338
M1b_PLACED_staffing,factor(day_of_week)^5,0.2426481515784045,0.23639924553943878,1.2746200721514158,0.8019617466645769,2.0258526483193946,0.30468720133186594,338
M1b_PLACED_staffing,factor(day_of_week)^6,0.009685268085003022,0.167001308126268,1.0097323220814456,0.7278667408364017,1.4007500343873365,0.9537524814152211,338
M1c_PLACED_utilization,pop_utilization_s2,2.9152446128136185,4.5385923958305625,18.453325770647986,0.002527823854296253,134710.8230737316,0.5206631503914418,338
M1c_PLACED_utilization,factor(day_of_week).L,-0.12651768399754965,0.20647159301712661,0.8811585669997954,0.5878978878336002,1.3207062591401897,0.540034560500058,338
M1c_PLACED_utilization,factor(day_of_week).Q,-0.354281138263056,0.17314583610085726,0.7016776711812406,0.4997501642083274,0.9851953826053892,0.04074230471041664,338
M1c_PLACED_utilization,factor(day_of_week).C,0.07206652943227652,0.2035110632497602,1.074726842652101,0.7212170444044637,1.6015120486658943,0.7232519305438888,338
M1c_PLACED_utilization,factor(day_of_week)^4,0.2980598143294854,0.22159835059286714,1.3472423698685592,0.8726044201316727,2.08005135121269,0.17861061424772856,338
M1c_PLACED_utilization,factor(day_of_week)^5,0.032000652177727656,0.20322973405424233,1.0325181786902584,0.6932742419327619,1.5377663337869183,0.8748819489767194,338
M1c_PLACED_utilization,factor(day_of_week)^6,-0.021746053214160652,0.16505946886481665,0.9784886875602029,0.7080343905894669,1.3522508573152514,0.8951845844127669,338
M1d_PLACED_lag1,pop_available_s2_lag1,-0.005084603526117194,0.006944678911952712,0.9949283011893402,0.9814775151447963,1.0085634252777254,0.4640720216506777,338
M1d_PLACED_lag1,factor(day_of_week).L,-0.1092330277829121,0.2052135055425806,0.896521478742389,0.5996245925630692,1.3404232778559702,0.5945253902599869,338
M1d_PLACED_lag1,factor(day_of_week).Q,-0.3680668933287875,0.17318018158832624,0.6920708852150161,0.4928748213537619,0.9717723231362227,0.033558192115751395,338
M1d_PLACED_lag1,factor(day_of_week).C,0.06230683788127793,0.20323361053686254,1.0642888587705264,0.7146009251373764,1.585095589801139,0.7591650355931584,338
M1d_PLACED_lag1,factor(day_of_week)^4,0.33472470509098223,0.22337962630019995,1.3975555923194987,0.9020373403816921,2.1652780280659285,0.13401462584751136,338
M1d_PLACED_lag1,factor(day_of_week)^5,0.004764414548696382,0.20278980202703528,1.0047757824182697,0.6752288575006762,1.4951588068542156,0.9812559454331149,338
M1d_PLACED_lag1,factor(day_of_week)^6,-3.192997232198848e-4,0.16868156418881405,0.9996807512475117,0.7182517349992128,1.3913807036134547,0.9984896739100744,338
M1f_PLACED_first30d,pop_available_s2,0.0035870423236072126,0.005628391291370971,1.0035934834591622,0.9925830378232109,1.0147260648847478,0.5239215188305634,338
M1f_PLACED_first30d,factor(day_of_week).L,-0.11840389982471215,0.20408173025956167,0.8883371809137312,0.5954701060866152,1.3252435998507857,0.5617940271551339,338
M1f_PLACED_first30d,factor(day_of_week).Q,-0.31604376176183485,0.17555052298515136,0.7290275459396999,0.5167878758597023,1.028431949675127,0.07181314137033955,338
M1f_PLACED_first30d,factor(day_of_week).C,0.038141656916156105,0.20221419929342813,1.0388783867640992,0.6989345508357832,1.5441621839913227,0.8503905996812896,338
M1f_PLACED_first30d,factor(day_of_week)^4,0.3256568368019968,0.21703418547960202,1.3849400268688452,0.9050816062115913,2.1192109803798966,0.13348846194128394,338
M1f_PLACED_first30d,factor(day_of_week)^5,0.02206134115176506,0.19574999535512055,1.0223064920048188,0.6965549114510124,1.5003993890705625,0.9102671186414026,338
M1f_PLACED_first30d,factor(day_of_week)^6,-0.007708809580298075,0.16605735521535778,0.9923208270888982,0.7166403086717832,1.3740514062060412,0.9629734458023247,338
